# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.github.arnaudroger.Seq2ArrayAccess.testGet
# Parameters: (size = 10)

# Warmup Iteration  10: 318.230 ns/op
# Warmup Iteration  11: 318.761 ns/op
# Warmup Iteration  12: 318.937 ns/op
# Warmup Iteration  13: 317.721 ns/op
# Warmup Iteration  14: 317.540 ns/op
# Warmup Iteration  15: 318.107 ns/op
# Warmup Iteration  16: 318.412 ns/op
# Warmup Iteration  17: 317.040 ns/op
# Warmup Iteration  18: 315.912 ns/op
# Warmup Iteration  19: 319.656 ns/op
# Warmup Iteration  20: 318.829 ns/op
Iteration   1: 319.334 ns/op
Iteration   2: 321.572 ns/op
Iteration   3: 318.991 ns/op
Iteration   4: 318.341 ns/op
Iteration   5: 319.641 ns/op
Iteration   6: 319.893 ns/op
Iteration   7: 318.822 ns/op
Iteration   8: 315.657 ns/op
Iteration   9: 315.509 ns/op
Iteration  10: 316.056 ns/op
Iteration  11: 319.933 ns/op
Iteration  12: 317.035 ns/op
Iteration  13: 315.711 ns/op
Iteration  14: 318.425 ns/op
Iteration  15: 316.242 ns/op
Iteration  16: 316.936 ns/op
Iteration  17: 316.763 ns/op
Iteration  18: 315.592 ns/op
Iteration  19: 316.087 ns/op
Iteration  20: 317.146 ns/op

# Run progress: 21.67% complete, ETA 00:31:32
# Fork: 4 of 10
# Warmup Iteration   1: 322.969 ns/op
# Warmup Iteration   2: 339.846 ns/op
# Warmup Iteration   3: 318.734 ns/op
# Warmup Iteration   4: 315.551 ns/op
# Warmup Iteration   5: 315.963 ns/op
# Warmup Iteration   6: 317.851 ns/op
# Warmup Iteration   7: 315.714 ns/op
# Warmup Iteration   8: 315.646 ns/op
# Warmup Iteration   9: 317.307 ns/op
# Warmup Iteration  10: 316.718 ns/op
# Warmup Iteration  11: 318.195 ns/op
# Warmup Iteration  12: 315.982 ns/op
# Warmup Iteration  13: 318.969 ns/op
# Warmup Iteration  14: 316.044 ns/op
# Warmup Iteration  15: 317.653 ns/op
# Warmup Iteration  16: 318.000 ns/op
# Warmup Iteration  17: 318.953 ns/op
# Warmup Iteration  18: 318.312 ns/op
# Warmup Iteration  19: 318.350 ns/op
# Warmup Iteration  20: 319.049 ns/op
Iteration   1: 320.244 ns/op
Iteration   2: 318.290 ns/op
Iteration   3: 318.218 ns/op
Iteration   4: 318.208 ns/op
Iteration   5: 318.898 ns/op
Iteration   6: 320.810 ns/op
Iteration   7: 318.120 ns/op
Iteration   8: 318.545 ns/op
Iteration   9: 318.145 ns/op
Iteration  10: 319.209 ns/op
Iteration  11: 322.339 ns/op
Iteration  12: 318.604 ns/op
Iteration  13: 318.527 ns/op
Iteration  14: 318.414 ns/op
Iteration  15: 319.383 ns/op
Iteration  16: 320.268 ns/op
Iteration  17: 318.698 ns/op
Iteration  18: 318.224 ns/op
Iteration  19: 320.913 ns/op
Iteration  20: 319.030 ns/op

# Run progress: 23.33% complete, ETA 00:30:52
# Fork: 5 of 10
# Warmup Iteration   1: 325.322 ns/op
# Warmup Iteration   2: 341.129 ns/op
# Warmup Iteration   3: 318.527 ns/op
# Warmup Iteration   4: 315.705 ns/op
# Warmup Iteration   5: 315.820 ns/op
# Warmup Iteration   6: 317.590 ns/op
# Warmup Iteration   7: 315.690 ns/op
# Warmup Iteration   8: 318.482 ns/op
# Warmup Iteration   9: 317.008 ns/op
# Warmup Iteration  10: 316.071 ns/op
# Warmup Iteration  11: 317.777 ns/op
# Warmup Iteration  12: 315.615 ns/op
# Warmup Iteration  13: 318.924 ns/op
# Warmup Iteration  14: 315.602 ns/op
# Warmup Iteration  15: 316.503 ns/op
# Warmup Iteration  16: 317.492 ns/op
# Warmup Iteration  17: 319.369 ns/op
# Warmup Iteration  18: 319.799 ns/op
# Warmup Iteration  19: 318.370 ns/op
# Warmup Iteration  20: 319.242 ns/op
Iteration   1: 320.812 ns/op
Iteration   2: 320.320 ns/op
Iteration   3: 319.550 ns/op
Iteration   4: 317.878 ns/op
Iteration   5: 321.210 ns/op
Iteration   6: 321.836 ns/op
Iteration   7: 318.076 ns/op
Iteration   8: 317.941 ns/op
Iteration   9: 319.174 ns/op
Iteration  10: 318.600 ns/op
Iteration  11: 320.797 ns/op
Iteration  12: 318.443 ns/op
Iteration  13: 317.897 ns/op
Iteration  14: 318.727 ns/op
Iteration  15: 319.545 ns/op
Iteration  16: 321.749 ns/op
Iteration  17: 320.119 ns/op
Iteration  18: 318.382 ns/op
Iteration  19: 319.909 ns/op
Iteration  20: 319.150 ns/op

# Run progress: 25.00% complete, ETA 00:30:11
# Fork: 6 of 10
# Warmup Iteration   1: 327.964 ns/op
# Warmup Iteration   2: 340.814 ns/op
# Warmup Iteration   3: 317.954 ns/op
# Warmup Iteration   4: 318.931 ns/op
# Warmup Iteration   5: 315.935 ns/op
# Warmup Iteration   6: 318.074 ns/op
# Warmup Iteration   7: 319.286 ns/op
# Warmup Iteration   8: 315.954 ns/op
# Warmup Iteration   9: 315.591 ns/op
# Warmup Iteration  10: 317.855 ns/op
# Warmup Iteration  11: 318.617 ns/op
# Warmup Iteration  12: 317.220 ns/op
# Warmup Iteration  13: 318.053 ns/op
# Warmup Iteration  14: 315.835 ns/op
# Warmup Iteration  15: 316.156 ns/op
# Warmup Iteration  16: 318.333 ns/op
# Warmup Iteration  17: 323.663 ns/op
# Warmup Iteration  18: 323.848 ns/op
# Warmup Iteration  19: 323.798 ns/op
# Warmup Iteration  20: 324.146 ns/op
Iteration   1: 326.136 ns/op
Iteration   2: 323.828 ns/op
Iteration   3: 323.780 ns/op
