# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.github.arnaudroger.Random2ArrayAccess.testGet
# Parameters: (size = 10)

# Warmup Iteration  17: 22.188 ns/op
# Warmup Iteration  18: 22.327 ns/op
# Warmup Iteration  19: 22.164 ns/op
# Warmup Iteration  20: 22.320 ns/op
Iteration   1: 22.147 ns/op
Iteration   2: 22.159 ns/op
Iteration   3: 22.134 ns/op
Iteration   4: 22.188 ns/op
Iteration   5: 22.285 ns/op
Iteration   6: 22.109 ns/op
Iteration   7: 22.110 ns/op
Iteration   8: 22.114 ns/op
Iteration   9: 22.189 ns/op
Iteration  10: 22.318 ns/op
Iteration  11: 22.164 ns/op
Iteration  12: 22.240 ns/op
Iteration  13: 22.148 ns/op
Iteration  14: 21.949 ns/op
Iteration  15: 22.321 ns/op
Iteration  16: 22.115 ns/op
Iteration  17: 22.106 ns/op
Iteration  18: 22.146 ns/op
Iteration  19: 22.168 ns/op
Iteration  20: 22.254 ns/op

# Run progress: 18.33% complete, ETA 00:32:53
# Fork: 2 of 10
# Warmup Iteration   1: 22.203 ns/op
# Warmup Iteration   2: 21.991 ns/op
# Warmup Iteration   3: 22.303 ns/op
# Warmup Iteration   4: 22.303 ns/op
# Warmup Iteration   5: 22.346 ns/op
# Warmup Iteration   6: 22.179 ns/op
# Warmup Iteration   7: 22.149 ns/op
# Warmup Iteration   8: 22.250 ns/op
# Warmup Iteration   9: 22.246 ns/op
# Warmup Iteration  10: 22.351 ns/op
# Warmup Iteration  11: 22.304 ns/op
# Warmup Iteration  12: 22.237 ns/op
# Warmup Iteration  13: 22.231 ns/op
# Warmup Iteration  14: 22.190 ns/op
# Warmup Iteration  15: 22.353 ns/op
# Warmup Iteration  16: 22.208 ns/op
# Warmup Iteration  17: 22.277 ns/op
# Warmup Iteration  18: 22.279 ns/op
# Warmup Iteration  19: 22.294 ns/op
# Warmup Iteration  20: 22.395 ns/op
Iteration   1: 22.194 ns/op
Iteration   2: 22.231 ns/op
Iteration   3: 22.250 ns/op
Iteration   4: 22.317 ns/op
Iteration   5: 22.398 ns/op
Iteration   6: 22.230 ns/op
Iteration   7: 22.232 ns/op
Iteration   8: 21.990 ns/op
Iteration   9: 22.337 ns/op
Iteration  10: 22.378 ns/op
Iteration  11: 22.177 ns/op
Iteration  12: 22.239 ns/op
Iteration  13: 22.248 ns/op
Iteration  14: 22.281 ns/op
Iteration  15: 22.351 ns/op
Iteration  16: 22.204 ns/op
Iteration  17: 22.254 ns/op
Iteration  18: 22.215 ns/op
Iteration  19: 22.302 ns/op
Iteration  20: 22.541 ns/op

# Run progress: 20.00% complete, ETA 00:32:12
# Fork: 3 of 10
# Warmup Iteration   1: 22.738 ns/op
# Warmup Iteration   2: 21.982 ns/op
# Warmup Iteration   3: 22.217 ns/op
# Warmup Iteration   4: 22.245 ns/op
# Warmup Iteration   5: 22.336 ns/op
# Warmup Iteration   6: 22.232 ns/op
# Warmup Iteration   7: 22.035 ns/op
# Warmup Iteration   8: 22.281 ns/op
# Warmup Iteration   9: 22.234 ns/op
# Warmup Iteration  10: 22.449 ns/op
# Warmup Iteration  11: 22.231 ns/op
# Warmup Iteration  12: 22.188 ns/op
# Warmup Iteration  13: 22.275 ns/op
# Warmup Iteration  14: 22.225 ns/op
# Warmup Iteration  15: 22.403 ns/op
# Warmup Iteration  16: 22.148 ns/op
# Warmup Iteration  17: 22.329 ns/op
# Warmup Iteration  18: 22.257 ns/op
# Warmup Iteration  19: 22.298 ns/op
# Warmup Iteration  20: 22.449 ns/op
Iteration   1: 22.282 ns/op
Iteration   2: 22.275 ns/op
Iteration   3: 22.331 ns/op
Iteration   4: 22.369 ns/op
Iteration   5: 22.447 ns/op
Iteration   6: 22.492 ns/op
Iteration   7: 22.311 ns/op
Iteration   8: 22.117 ns/op
Iteration   9: 22.345 ns/op
Iteration  10: 22.596 ns/op
Iteration  11: 22.311 ns/op
Iteration  12: 22.359 ns/op
Iteration  13: 22.318 ns/op
Iteration  14: 22.317 ns/op
Iteration  15: 22.431 ns/op
Iteration  16: 22.289 ns/op
Iteration  17: 22.295 ns/op
Iteration  18: 22.280 ns/op
Iteration  19: 22.301 ns/op
Iteration  20: 22.509 ns/op

# Run progress: 21.67% complete, ETA 00:31:32
# Fork: 4 of 10
# Warmup Iteration   1: 22.611 ns/op
# Warmup Iteration   2: 21.877 ns/op
# Warmup Iteration   3: 22.736 ns/op
# Warmup Iteration   4: 22.653 ns/op
# Warmup Iteration   5: 22.944 ns/op
# Warmup Iteration   6: 22.601 ns/op
# Warmup Iteration   7: 22.630 ns/op
# Warmup Iteration   8: 22.666 ns/op
# Warmup Iteration   9: 22.784 ns/op
# Warmup Iteration  10: 22.853 ns/op
# Warmup Iteration  11: 22.769 ns/op
# Warmup Iteration  12: 22.634 ns/op
# Warmup Iteration  13: 22.823 ns/op
# Warmup Iteration  14: 22.733 ns/op
# Warmup Iteration  15: 22.852 ns/op
# Warmup Iteration  16: 22.735 ns/op
# Warmup Iteration  17: 22.285 ns/op
# Warmup Iteration  18: 22.286 ns/op
# Warmup Iteration  19: 22.281 ns/op
# Warmup Iteration  20: 22.541 ns/op
Iteration   1: 22.220 ns/op
Iteration   2: 22.351 ns/op
Iteration   3: 22.212 ns/op
Iteration   4: 22.383 ns/op
Iteration   5: 22.440 ns/op
Iteration   6: 22.267 ns/op
Iteration   7: 22.329 ns/op
Iteration   8: 22.208 ns/op
Iteration   9: 22.311 ns/op
Iteration  10: 22.378 ns/op
Iteration  11: 22.182 ns/op
Iteration  12: 22.240 ns/op
Iteration  13: 22.228 ns/op
Iteration  14: 22.194 ns/op
Iteration  15: 22.433 ns/op
Iteration  16: 22.031 ns/op
Iteration  17: 22.285 ns/op
Iteration  18: 22.325 ns/op
Iteration  19: 22.227 ns/op
Iteration  20: 22.428 ns/op

# Run progress: 23.33% complete, ETA 00:30:52
# Fork: 5 of 10
# Warmup Iteration   1: 22.974 ns/op
# Warmup Iteration   2: 22.336 ns/op
# Warmup Iteration   3: 22.594 ns/op
# Warmup Iteration   4: 22.689 ns/op
# Warmup Iteration   5: 22.560 ns/op
# Warmup Iteration   6: 22.551 ns/op
# Warmup Iteration   7: 22.450 ns/op
# Warmup Iteration   8: 22.609 ns/op
# Warmup Iteration   9: 22.707 ns/op
# Warmup Iteration  10: 22.618 ns/op
# Warmup Iteration  11: 22.730 ns/op
# Warmup Iteration  12: 22.570 ns/op
# Warmup Iteration  13: 22.634 ns/op
# Warmup Iteration  14: 22.710 ns/op
# Warmup Iteration  15: 22.588 ns/op
# Warmup Iteration  16: 22.581 ns/op
# Warmup Iteration  17: 22.072 ns/op
# Warmup Iteration  18: 22.107 ns/op
# Warmup Iteration  19: 22.232 ns/op
# Warmup Iteration  20: 22.087 ns/op
Iteration   1: 22.099 ns/op
